Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Pratt Whitney,JT8D-1A,NA,14000,62275,NA,NA,0.585,1.6437E-05,NA,NA,15.40,NA,NA,NA,NA,NA,NA,1.06,NA,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-1B,NA,14000,62275,NA,NA,0.585,1.6437E-05,NA,NA,15.40,NA,NA,NA,NA,NA,NA,1.06,NA,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-209,MD-81,19250,85628,4945,21996,0.510,1.4330E-05,0.724,2.0345E-05,17.40,35000,10.668,218.818,0.80,3.3125E-08,1.2487E-05,1.82,1980,4410,2000,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-216,MD-95-30 (not produced),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4410,2000,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-217,MD-81/-82,20000,88964,5240,23309,0.530,1.4892E-05,0.753,2.1160E-05,18.60,35000,10.668,218.818,0.80,3.4496E-08,1.2977E-05,1.77,1980,4430,2009,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-217A,MD-81/-82/-82(SA),20000,88964,5240,23309,0.530,1.4892E-05,0.753,2.1160E-05,18.60,35000,10.668,218.818,0.80,3.4496E-08,1.2977E-05,1.77,1980,4430,2009,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-217C,"727-100(RE)/-200A(RE)/-200AF(RE), MD-81/-82/-87/-88",20000,88964,5240,23309,0.500,1.4049E-05,0.736,2.0682E-05,20.10,35000,10.668,218.818,0.80,3.5578E-08,1.2242E-05,1.72,1963,4500,2041,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-218,MD-95-30 (not produced),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,2041,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-219,"MD-82/-83/-87/-88, 707-330C(RE), 727-200AF(RE)",21700,96526,5250,23353,0.519,1.4583E-05,0.737,2.0711E-05,19.20,35000,10.668,218.818,0.80,3.3736E-08,1.2707E-05,1.77,1980,4500,2041,2,49.20,1.2497,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT8D-3,(see military turbofan specifications TF33-P-102),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3096,1404,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT8D-5,DC-9-11,12250,54491,NA,NA,0.565,1.5875E-05,NA,NA,15.80,NA,NA,NA,NA,NA,NA,NA,NA,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-7,"727-100/-100C/-100QC/-100F/-200/-200F, 737-100/-200A/-200CA, DC-9-15/-15F(RC)/-31, Caravelle 10B1R/10B3/11R",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3155,1431,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-7 (HK3),"727-100/-100C, DC-9-15/-15F(RC)",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-7A,"727-100/-100C/-100QC/-100F/-200, 737-100/-200, DC-9-14/-15/-15F(MC)/-31/-31",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,15.80,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-7A (HK3),"727-100/-100C, DC-9-15/-15F(RC)/-32",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-7B,"727-100/-100C/-100F/-200/-200A/-200F, 737-100/-200, DC-9-14/-15/-15F(MC)/-15F(RC)/-31/-31F/-32",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,15.80,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-7B (HK),727-200F,14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-7B (HK3),"727-100/-100C/-100F/-200/-200A/-200AF/-200F, 737-200, DC-9-14/-15/-15F(MC)/-15F(RC)/-31/-32/-32F",14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-7B (Q),727-100/-100F,14000,62275,4270,18994,0.585,1.6437E-05,0.796,2.2368E-05,NA,30000,9.144,228.724,0.80,3.1848E-08,1.4644E-05,1.07,1963,3096,1404,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-9,"727-100/-100C/-200/-200A, 737-200/-200A/-200C/-200CA, DC-9-32/-32F/-33F/-33F(RC), Caravelle 10B3/12",14500,64499,4540,20195,0.565,1.5875E-05,0.800,2.2481E-05,15.90,30000,9.144,228.724,0.80,3.4376E-08,1.4143E-05,1.03,1963,3196,1450,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-9 (HK3),"727-200F, DC-9-31/-32/-32F/-33F",14500,64499,4540,20195,0.565,1.5875E-05,0.800,2.2481E-05,NA,30000,9.144,228.724,0.80,3.4376E-08,1.4143E-05,1.03,1963,3196,1450,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-9A,"727-100/-100C/-100F/-200/-200A/-200AF/-200F, 737-100/-200/-200A/-200C/-200CA/-200AF, DC-9-31/-32/-32F/-33F(RC)",14500,64499,4540,20195,0.565,1.5875E-05,0.800,2.2481E-05,15.90,30000,9.144,228.724,0.80,3.4376E-08,1.4143E-05,1.03,1963,3196,1450,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-9A (HK3),"727-100/-200/-200A/-200AF/-200F, 737-200/-200A/-200C/-200CA, DC-9-31/-32/-33F(CF)/-33F(RC)",14500,64499,4540,20195,0.565,1.5875E-05,0.800,2.2481E-05,NA,30000,9.144,228.724,0.80,3.4376E-08,1.4143E-05,1.03,1963,3196,1450,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT9D-1,747-100 (option),42000,186825,NA,NA,NA,NA,NA,NA,21.50,NA,NA,NA,NA,NA,NA,5.00,NA,NA,NA,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-15,"DC-10-20/-40 (option), MD-11 (proposed)",45500,202394,NA,NA,0.355,9.9746E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,95.60,2.4282,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT9D-20,"DC-10-40, MD-11 (proposed)",46300,205953,10680,47507,0.370,1.0396E-05,0.624,1.7535E-05,21.10,35000,10.668,218.818,0.85,3.3627E-08,9.0592E-06,5.20,1971,8450,3833,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-20J,"DC-10-40, MD-11 (proposed)",46300,205953,10680,47507,0.370,1.0396E-05,0.624,1.7535E-05,23.50,35000,10.668,218.818,0.85,3.3627E-08,9.0592E-06,5.20,1971,8450,3833,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-25,"DC-10-20 (option), MD-11 (proposed)",47000,209066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20,NA,NA,NA,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-3,747-100 (option),43500,193498,NA,NA,0.346,9.7217E-06,NA,NA,22.00,NA,NA,NA,NA,NA,NA,5.20,NA,8430,3824,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-3A,747-100,44250,196834,10200,45372,0.346,9.7217E-06,0.624,1.7535E-05,21.50,35000,10.668,218.818,0.85,3.5958E-08,8.4716E-06,5.20,1969,8610,3905,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-59,A300B4-120/-220/-220F/-220FF (option),53000,235756,11950,53156,0.375,1.0537E-05,0.631,1.7732E-05,24.90,35000,10.668,218.818,0.85,3.3922E-08,9.1817E-06,4.90,1972,9140,4146,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-59A,"A300B4-120/-220/-220F/-220FF, DC-10-40(D)/-40(I)/-40F, A300B4-320 (option)",51740,230151,11950,53156,0.375,1.0537E-05,0.631,1.7732E-05,24.50,35000,10.668,218.818,0.85,3.3922E-08,9.1817E-06,4.90,1972,9140,4146,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-59B,NA,54500,242428,12200,54268,0.410,1.1520E-05,0.631,1.7732E-05,25.20,35000,10.668,218.818,0.85,3.0522E-08,1.0039E-05,4.80,1972,9160,4155,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7,747-100/-200B,46300,205953,10200,45372,0.355,9.9746E-06,0.620,1.7423E-05,22.30,35000,10.668,218.818,0.85,3.4638E-08,8.6920E-06,5.20,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-70A,747-200B/-200B(M)/-200B(SF)/-200F,53000,235756,11950,53156,0.375,1.0537E-05,0.631,1.7732E-05,24.50,35000,10.668,218.818,0.85,3.3922E-08,9.1817E-06,4.90,1969,9160,4155,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-70B,NA,54500,242428,12200,54268,0.410,1.1520E-05,0.631,1.7732E-05,25.20,35000,10.668,218.818,0.85,3.0522E-08,1.0039E-05,4.80,1969,9180,4164,2,95.60,2.4282,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7A,747-SF/-SP/-100/-100A/-100(SF)/-100F/-100SR/-100SRB/-100SR(SF)/-200/-200B/-200C,46950,208844,10830,48174,0.364,1.0227E-05,0.625,1.7563E-05,22.50,35000,10.668,218.818,0.85,3.4321E-08,8.9123E-06,5.10,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7AH,747-SP/-100/-100(SF)/-100F/-200B,46950,208844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20,NA,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7ASP,747-SP (option),46950,208844,10680,47507,0.364,1.0227E-05,0.630,1.7704E-05,22.50,35000,10.668,218.818,0.85,3.4879E-08,8.9123E-06,5.10,1969,8780,3983,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7AW,"747-200B/-200(SF)/-100SR/-200F, 747-100/-100B (option)",46950,208844,10830,48174,0.360,1.0115E-05,0.620,1.7423E-05,22.50,35000,10.668,218.818,0.85,3.4152E-08,8.8144E-06,5.10,1974,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7F,747-SP/-100B/-200/-200B/-200B(M)/-200(SF)/-200F,48000,213515,11050,49153,0.367,1.0312E-05,0.631,1.7732E-05,22.80,35000,10.668,218.818,0.85,3.4699E-08,8.9858E-06,5.10,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7FW,747-SP/-200B(SF)/-200C(M),48000,213515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7J,747-100F/-200B/-200B(M)/-200B(SF)/-200C/-200F,50000,222411,11050,49153,0.370,1.0396E-05,0.631,1.7732E-05,23.50,35000,10.668,218.818,0.85,3.4407E-08,9.0592E-06,5.10,1969,8850,4014,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7Q,747-200B/-200B(M)/-200B(SF)/-200F,53000,235756,11950,53156,0.380,1.0677E-05,0.631,1.7732E-05,24.50,35000,10.668,218.818,0.85,3.3436E-08,9.3041E-06,4.90,1969,9300,4218,2,93.60,2.3774,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7Q3,747-200B/-200B(M)/-200B(SF),53000,235756,11950,53156,0.380,1.0677E-05,0.631,1.7732E-05,24.50,35000,10.668,218.818,0.85,3.3436E-08,9.3041E-06,4.90,1969,9300,4218,2,93.60,2.3774,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R,767-200/-200ER/-200ET/-200PC/-300,48000,213515,11200,49820,0.410,1.1520E-05,0.615,1.7282E-05,23.40,35000,10.668,218.818,0.85,2.8738E-08,1.0039E-05,4.90,1980,8910,4042,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4D,767-200/-200ER/-200ET/-200PC/-300,48000,213515,11200,49820,0.343,9.6374E-06,0.615,1.7282E-05,23.40,35000,10.668,218.818,0.85,3.5246E-08,8.3982E-06,4.90,1980,8910,4042,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4D1,A310-221 (option),48019,213599,11200,49820,0.343,9.6374E-06,0.615,1.7282E-05,23.40,35000,10.668,218.818,0.85,3.5246E-08,8.3982E-06,4.90,1981,8910,4042,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4E,767-200ER,50000,222411,11700,52044,0.343,9.6374E-06,0.620,1.7423E-05,24.20,35000,10.668,218.818,0.85,3.5804E-08,8.3982E-06,4.90,1981,8910,4042,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4E1,A310-222/-222F/-322,50020,222500,11700,52044,0.343,9.6374E-06,0.620,1.7423E-05,24.20,35000,10.668,218.818,0.85,3.5804E-08,8.3982E-06,4.90,1981,8910,4042,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4E3,767-200ER (option),50000,222411,11700,52044,0.343,9.6374E-06,0.620,1.7423E-05,24.20,35000,10.668,218.818,0.85,3.5804E-08,8.3982E-06,4.90,1981,9100,4128,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4E4,767-200ER,50000,222411,11700,52044,0.343,9.6374E-06,0.620,1.7423E-05,24.20,35000,10.668,218.818,0.85,3.5804E-08,8.3982E-06,4.90,1985,9100,4128,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4G2,747-200B/-200B(SF)/-200F/-300/-300(M)/-300(SF),54750,243540,12250,54491,0.360,1.0115E-05,0.639,1.7957E-05,26.30,35000,10.668,218.818,0.85,3.6271E-08,8.8144E-06,4.80,1969,9140,4146,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7R4H1,A300B4-620,56022,249198,12250,54491,0.364,1.0227E-05,0.628,1.7648E-05,26.70,35000,10.668,218.818,0.85,3.4656E-08,8.9123E-06,4.80,1972,8890,4032,2,93.40,2.3724,153.60,3.9014,NA,NA,NA,,,,,
Pratt Whitney,JT9D-7W,747-200B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.90,NA,NA,NA,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JT9D-9,A300B2/B4,53000,235756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,95.60,2.4282,154.20,3.9167,NA,NA,NA,,,,,
Pratt Whitney,JTF14,Technology demonstrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JTF17A-21,"L-2000-7B (not produced), B-2707-200/-300 (candidate engine)",38300,170367,NA,NA,0.750,2.1073E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Instytut Lotnictwa,K-15,I-22,3307,14710,NA,NA,1.006,2.8266E-05,NA,NA,5.30,NA,NA,NA,NA,NA,NA,0.00,NA,705,320,1,NA,NA,61.40,1.5596,35.10,0.8915,0.9736,,,,,
Turbomeca/Snecma,Larzac 04-C20,"Falcon 10, Corvette",3175,14123,2731,12148,0.760,2.1354E-05,1.120,3.1473E-05,11.10,30000,9.144,228.724,0.80,5.1326E-08,1.9025E-05,1.04,1982,734,333,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Avco Lycoming (Textron Lycoming),LF507-1F,RJ-70/-85/-100/-115,7000,31138,NA,NA,0.406,1.1408E-05,0.413,1.1606E-05,13.80,26000,7.925,236.649,0.52,7.9073E-09,1.0338E-05,5.70,1980,1385,628,2,40.00,1.0160,58.60,1.4884,41.70,1.0592,1.3115,,,,,
Avco Lycoming (Textron Lycoming),LF507-1H ,RJ-70/-85/-100/-115,7000,31138,NA,NA,0.406,1.1408E-05,0.413,1.1606E-05,13.80,26000,7.925,236.649,0.52,7.9073E-09,1.0338E-05,5.70,1980,1375,624,2,40.00,1.0160,58.60,1.4884,41.70,1.0592,1.3115,,,,,
Avco Lycoming (Textron Lycoming),LF507-1N,Yak-40TL,7000,31138,NA,NA,0.406,1.1408E-05,0.413,1.1606E-05,NA,26000,7.925,236.649,0.52,7.9073E-09,1.0338E-05,5.70,1980,1375,624,2,40.00,1.0160,58.60,1.4884,41.70,1.0592,1.3115,,,,,
Rolls-Royce/Snecma,M45F,Technology demonstrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce/Snecma,M45H-01,NA,7763,34532,2746,12215,0.451,1.2672E-05,0.730,2.0514E-05,18.00,20000,6.096,248.536,0.65,4.2573E-08,1.1768E-05,2.80,1968,1484,673,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce/Snecma,M45H-D Mk.501,VFW 614 (not produced),7760,34518,2745,12210,0.451,1.2672E-05,0.730,2.0514E-05,18.80,20000,6.096,248.536,0.65,4.2573E-08,1.1768E-05,2.85,1971,1480,671,2,41.70,1.0592,116.50,2.9591,NA,NA,NA,,,,,
Rolls-Royce/Snecma,M45H-E1,NA,9250,41146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce/Snecma,M45H-E2,NA,9600,42703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Marbore 2,Saulnier Paris 1,882,3923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Marbore 2A,Noratlas N-2502,882,3923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Marbore 6C,"Saulnier Paris 2, Saulnier Paris 3",1060,4715,NA,NA,1.110,3.1188E-05,NA,NA,3.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Marbore 6F,"CM,191 (not produced)",1058,4706,NA,NA,1.110,3.1188E-05,NA,NA,3.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Maverick,MC-750,MC-2400 Legend,750,3336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Nene RB.41-1,F26 (not produced),4600,20462,NA,NA,1.049,2.9474E-05,NA,NA,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-144,Tu-144/-144D/-144LL,28660,127486,NA,NA,NA,NA,NA,NA,14.20,NA,NA,NA,NA,NA,NA,0.60,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-144A,Tu-144S (not produced),33070,147103,NA,NA,NA,NA,NA,NA,17.00,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-321,Tu-144,30843,137196,NA,NA,NA,NA,NA,NA,28.40,NA,NA,NA,NA,NA,NA,1.40,NA,7590,3443,3,NA,NA,236.00,5.9944,57.50,1.4605,10.0424,,,,,
Kuznetsov,NK-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-44K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-8-2,Tu-154,20944,93164,NA,NA,0.579,1.6268E-05,NA,NA,21.50,NA,NA,NA,NA,NA,NA,1.05,NA,4630,2100,2,NA,NA,187.50,4.7625,56.80,1.4427,7.7855,,,,,
Kuznetsov,NK-8-2U,Tu-154A/B,23150,102976,NA,NA,0.569,1.5987E-05,NA,NA,23.20,NA,NA,NA,NA,NA,NA,1.05,NA,4630,2100,2,NA,NA,187.50,4.7625,56.80,1.4427,7.7855,,,,,
Kuznetsov,NK-8-3,Il-62,20950,93190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Kuznetsov,NK-8-4,Il-62,23150,102976,NA,NA,0.588,1.6521E-05,NA,NA,23.20,NA,NA,NA,NA,NA,NA,1.02,NA,4630,2100,2,NA,NA,201.00,5.1054,56.80,1.4427,8.3461,,,,,
Kuznetsov,NK-86,(see NK-86),28660,127486,NA,NA,NA,NA,NA,NA,13.40,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,2,NA,NA,143.00,3.6322,63.00,1.6002,7.3048,,,,,
Kuznetsov,NK-93,"Il-96M, Tu-204-230, Tu-330 (proposed)",39683,176519,7194,32000,0.235,6.6029E-06,0.490,1.3770E-05,28.90,36090,11.000,216.658,0.75,3.6349E-08,5.7254E-06,16.60,2008,8050,3651,3,114.20,2.9007,235.10,5.9715,NA,NA,NA,,,,,
Rolls-Royce/Snecma,Olympus 593 Mk.601,Concorde,32600,145012,10030,44616,0.700,1.9668E-05,1.190,3.3440E-05,15.50,53000,NA,NA,NA,NA,NA,1.35,1969,5810,2635,2,NA,NA,138.20,3.5103,47.90,1.2167,4.0810,,,,,
Rolls-Royce/Snecma,Olympus 593 Mk.610,Concorde,31352,139461,10026,44598,0.880,2.4726E-05,1.190,3.3440E-05,14.50,53000,NA,NA,NA,NA,NA,0.28,1969,9985,4529,2,NA,NA,138.20,3.5103,47.90,1.2167,4.0810,,,,,
Rolls-Royce/Snecma,Olympus 593 Mk.611,Concorde,38400,170812,10030,44616,0.700,1.9668E-05,1.190,3.3440E-05,NA,53000,NA,NA,NA,NA,NA,1.35,1969,5810,2635,2,NA,NA,138.20,3.5103,47.90,1.2167,4.0810,,,,,
Rolls-Royce/Snecma,Olympus 593 Mk.621,Concorde,38400,170812,10030,44616,0.700,1.9668E-05,1.190,3.3440E-05,NA,53000,NA,NA,NA,NA,NA,1.35,1969,5810,2635,2,NA,NA,138.20,3.5103,47.90,1.2167,4.0810,,,,,
Solovyev,PS-12,"MS-21-100/-200/-300, MS-21K, MS-12KP (candidate engine)",29762,132388,5665,25199,NA,NA,0.549,1.5428E-05,40.20,36000,10.973,216.837,0.80,NA,NA,8.39,NA,5400,2449,NA,73.60,1.8694,NA,NA,NA,NA,NA,,,,,
Solovyev,PS-12M,NA,32740,145635,6062,26965,NA,NA,0.553,1.5540E-05,NA,36000,10.973,216.837,0.80,NA,NA,NA,NA,5400,2449,NA,73.60,1.8694,NA,NA,NA,NA,NA,,,,,
Solovyev,PS-7,NA,17000,75620,3417,15200,NA,NA,0.620,1.7423E-05,NA,36000,10.973,216.837,0.80,NA,NA,NA,NA,2980,1352,NA,47.60,1.2090,NA,NA,NA,NA,NA,,,,,
Solovyev,PS-9,"Il-214-100, Il-214T (candidate engine)",22000,97861,4630,20595,NA,NA,0.590,1.6580E-05,NA,36000,10.973,216.837,0.80,NA,NA,NA,NA,3860,1751,NA,56.50,1.4351,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90,"Il-214, RRJ (candidate engine)",35250,156800,7711,34300,0.380,1.0677E-05,0.600,1.6861E-05,31.90,36090,11.000,216.658,0.80,3.2207E-08,9.2581E-06,4.60,1992,6504,2950,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
